TableName,RowCount
[dbo].[activity_level],3
[dbo].[app_version],3
[dbo].[authority],2
[dbo].[challenge],126
[dbo].[challenge_type],25
[dbo].[daily_goal_step],1
[dbo].[daily_step],4113
[dbo].[daily_step_log],544944
[dbo].[facebook_share],1
[dbo].[file_attachment],0
[dbo].[login],14412
[dbo].[member],258
[dbo].[member_authorities],250
[dbo].[member_challenge],1209
[dbo].[member_challenge_detail],116
[dbo].[member_device],450
[dbo].[member_level],0
[dbo].[member_reward],100
[dbo].[member_tier],20
[dbo].[notification_setting],101
[dbo].[otp_config],1
[dbo].[otp_log],1735
[dbo].[password_history],211
[dbo].[pns_config],9
[dbo].[pns_log],42522
[dbo].[reward],148
[dbo].[reward_member_tier],348
[dbo].[reward_type],52
[dbo].[security_config],1
